Nombre de la carrera,area,Duracion
Arquitectura,Diseño,10 Semestres
Diseño de Producto,Diseño,10 Semestres
Diseño y Arte Visual,Diseño,10 Semestres
Administracion y Creacion de Empresas,Administracion,10 Semestres
Comercio Exterior y Logistica Internacional,Administracion,10 Semestres
Contaduria y Estrategias Financieras,Finanzas,10 Semestres
Ingenieria Civil,Diseño,10 Semestres
Ingenieria en Biotecnologia,Biologia,10 Semestres
Ingenieria Industrial,Administracion,10 Semestres
Ingenieria Mecanica y Electrica,Electrica,10 Semestres
Ingenieria Mecatronica,Mecanica,10 Semestres
Comunicacion,Humanidades,10 Semestres
Derecho ,Humanidades,10 Semestres
Relaciones Internacionales,Humanidades,10 Semestres
Nutricion y Ciencia de los Alimentos,C. de la Salud,10 Semestres
